logon,{C9L6-H1QT87HX-2218FZCC},02/03/2011 07:09:09,ALW0764,PC-4156,Logon
device,{R1B9-O0TP44KT-2039ELXI},02/03/2011 07:12:36,ALW0764,PC-4156,R:\;R:\ALW0764;R:\83p6vM4,Connect
file,{K7M8-I6YT49RW-2418QLDA},02/03/2011 07:26:24,ALW0764,PC-4156,R:\ALW0764\9SVLJ7J6.doc,File Open,False,True,"engineering,holidays,weather",D0-CF-11-E0-A1-B1-1A-E1 erupted thinks noise challenges evacuated dolgorouki might significant empire victor examine numerical broken ranging why case tells court entourage new strongest south displaced place other 2001 not 1 persisted called 135 upon revealed economy less early niue government cope large also decided 1931 participated broken much imposed once came
http,{U8Q2-D3GE66HJ-7300UEXE},02/03/2011 07:28:25,ALW0764,PC-4156,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,The_Real_Story_About_DTAA,2010 subterfuge spy clandestine middle-east isreal aisa middle-east covert isreal forgery confidential aisa middle-east surveillance sabatoge restricted restricted forgery china subterfuge covert spy middle-east restricted distort spy evade europe forgery restricted spy lie lie
device,{V7O7-M7MA44CM-3968PQRO},02/03/2011 07:29:26,ALW0764,PC-4156,,Disconnect
logon,{P2B3-R4XG94LE-7266OYKU},02/03/2011 07:30:26,ALW0764,PC-4156,Logoff
logon,{W2K2-Z1KT85NG-4636URPG},02/04/2011 20:34:32,ALW0764,PC-4156,Logon
device,{U4G9-P8GK20LL-9697YCYF},02/05/2011 03:30:49,ALW0764,PC-4156,R:\;R:\ALW0764;R:\83p6vM4,Connect
file,{W3M2-F9ZH79SG-2569BDJG},02/05/2011 05:59:43,ALW0764,PC-4156,R:\83p6vM4\5A1HWZCJ.doc,File Open,False,True,tooling,D0-CF-11-E0-A1-B1-1A-E1 contemporary implies properties driving often strongly material unlike mechanical circle resistance voluntary opposes universe entire before whose matter which authors each suggesting interpretation century provoked impossible account than earliest him nearly very systems made resistance
file,{F5E4-X0AG83YD-6337SULX},02/05/2011 06:07:23,ALW0764,PC-4156,R:\83p6vM4\5A1HWZCJ.doc,File Open,False,True,tooling,D0-CF-11-E0-A1-B1-1A-E1 contemporary implies properties driving often strongly material unlike mechanical circle resistance voluntary opposes universe entire before whose matter which authors each suggesting interpretation century provoked impossible account than earliest him nearly very systems made resistance
http,{L8I0-X5KO26KQ-6454ZCHQ},02/05/2011 06:10:42,ALW0764,PC-4156,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,The_Real_Story_About_DTAA,distort surveillance deceit spy europe lie sabatoge aisa bait currency clandestine spy conspiracy evade bait middle-east middle-east overthrow report top-secret middle-east lie currency clandestine sabatoge bait deceit sabatoge evade chronicle spy russia covert clandestine clandestine currency covert chronicle evade bait currency covert spy sabatoge middle-east blackmail sabatoge evade middle-east middle-east middle-east lie deceit distort covert isreal bait conspiracy lie surveillance isreal report
device,{M8K7-T8BV96IS-8560WELG},02/05/2011 06:11:42,ALW0764,PC-4156,,Disconnect
logon,{E1O5-D9YL02MP-3741UJGP},02/05/2011 06:12:51,ALW0764,PC-4156,Logoff
