logon,{G4R7-L9KF53OD-7187SJXT},03/23/2011 06:54:24,WWW0701,PC-6092,Logon
device,{O7W3-I1PK91ES-6155QBUO},03/23/2011 07:03:38,WWW0701,PC-6092,R:\;R:\WWW0701;R:\99CfG61;R:\62zdxm0,Connect
file,{C2X6-D5JU32IX-3873GRPR},03/23/2011 07:09:15,WWW0701,PC-6092,R:\62zdxm0\ZJZE33NI.doc,File Open,False,True,"team,holidays,repair",D0-CF-11-E0-A1-B1-1A-E1 government approved special french northwest gender although especially quebec discrimination cost system proof apart specific apart he heiress contrast 4 english provisions confirmed traditions up flora union soil act yukon official specific settlement strict background rediscovered required victory barrage 850 gather astride down never correct supplies sole night valley
http,{D7B9-J0ES98XW-4863QWBS},03/23/2011 07:21:42,WWW0701,PC-6092,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,The_Real_Story_About_DTAA,covert isreal sabatoge confidential sabatoge isreal currency forgery blackmail sabatoge russia deceit currency currency distort report deceit currency confidential report 2010 middle-east top-secret overthrow aisa currency restricted middle-east report 2010 lie sabatoge europe subterfuge blackmail top-secret subterfuge isreal distort report middle-east confidential clandestine lie bait aisa restricted 2010 blackmail report
device,{E7D3-M5ZC38MQ-8786SQOA},03/23/2011 07:23:55,WWW0701,PC-6092,,Disconnect
logon,{V7X0-B1CB27AR-2801YAHZ},03/23/2011 07:25:30,WWW0701,PC-6092,Logoff
logon,{M1E8-J1XA09JN-2850HQIK},03/29/2011 22:06:26,WWW0701,PC-6092,Logon
device,{N8W7-F9XR44AD-2896OCBZ},03/30/2011 04:55:29,WWW0701,PC-6092,R:\;R:\WWW0701;R:\99CfG61;R:\62zdxm0,Connect
file,{T9H7-T0QH73RZ-5171PPJL},03/30/2011 05:14:08,WWW0701,PC-6092,R:\62zdxm0\ZJZE33NI.doc,File Open,False,True,"team,holidays,repair",D0-CF-11-E0-A1-B1-1A-E1 government approved special french northwest gender although especially quebec discrimination cost system proof apart specific apart he heiress contrast 4 english provisions confirmed traditions up flora union soil act yukon official specific settlement strict background rediscovered required victory barrage 850 gather astride down never correct supplies sole night valley
http,{C7E2-Q7PE30KX-9652XKMM},03/30/2011 05:22:56,WWW0701,PC-6092,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,The_Real_Story_About_DTAA,covert spy covert restricted currency confidential 2010 middle-east subterfuge distort confidential overthrow distort isreal blackmail spy currency restricted russia deceit top-secret 2010 surveillance sabatoge restricted deceit europe lie 2010 covert evade report europe spy currency restricted distort evade top-secret europe currency confidential europe lie handler restricted sabatoge lie aisa middle-east distort deceit spy spy europe middle-east europe middle-east restricted isreal
device,{G8O1-R8JO74QL-2507UDEZ},03/30/2011 05:36:45,WWW0701,PC-6092,,Disconnect
logon,{E3M5-W0JM77SV-1723ZWLU},03/30/2011 05:40:52,WWW0701,PC-6092,Logoff
